ID,Name,Score
399,Name7443,44.98
400,Name6438,8.55
401,Name3002,37.04
402,Name2612,52.53
403,Name254,49.78
404,Name2740,29.27
405,Name8975,87.71
406,Name8825,42.71
407,Name3188,62.44
408,Name5312,94.44
409,Name1728,86.20
410,Name3183,54.43
411,Name5508,5.72
412,Name9052,0.68
413,Name1767,72.99
414,Name6007,67.99
415,Name8047,97.54
416,Name9055,16.39
417,Name8546,84.13
418,Name1393,6.82
419,Name5227,65.84
420,Name802,87.37
421,Name6374,12.72
422,Name7429,68.16
423,Name26,27.54
424,Name6301,85.05
425,Name4586,3.36
426,Name5954,54.33
427,Name6078,24.56
428,Name7672,44.66
429,Name7796,34.29
430,Name2972,44.44
431,Name4868,92.01
432,Name5220,8.57
433,Name5067,65.40
434,Name6490,48.73
435,Name194,81.92
436,Name4656,40.22
437,Name8049,77.88
438,Name4501,49.29
439,Name9543,41.57
440,Name5503,54.51
441,Name7235,73.14
442,Name4132,17.80
443,Name7093,39.53
444,Name1456,41.87
445,Name1720,2.12
446,Name5035,70.22
447,Name2149,89.61
448,Name3118,64.97
449,Name8892,41.69
450,Name1164,32.87
451,Name9040,69.34
452,Name5966,21.12
453,Name6207,47.62
454,Name2814,57.34
455,Name7582,93.81
456,Name4400,81.85
457,Name4485,84.97
458,Name209,94.06
459,Name5173,48.18
460,Name4437,8.17
461,Name388,50.21
462,Name5003,64.94
463,Name2007,16.65
464,Name9991,57.90
465,Name9276,55.88
466,Name213,23.04
467,Name1376,66.02
468,Name9199,38.12
469,Name8991,91.46
470,Name6293,47.00
471,Name6066,46.54
472,Name8536,44.52
473,Name9495,13.21
474,Name1576,45.82
475,Name552,90.62
476,Name7546,79.53
477,Name7429,53.64
478,Name2160,87.14
479,Name9596,2.62
480,Name9113,59.24
481,Name3668,97.84
482,Name8737,62.71
483,Name5085,4.27
484,Name3828,34.58
485,Name4194,10.62
486,Name9618,57.15
487,Name9656,97.10
488,Name2034,45.20
489,Name447,44.43
490,Name5238,38.82
491,Name6634,21.96
492,Name3839,45.24
493,Name1981,34.56
494,Name8033,82.51
495,Name168,89.33
496,Name1709,40.71
497,Name6619,33.49
498,Name1823,7.00
499,Name3075,52.43
500,Name2286,31.51
501,Name4422,31.32
502,Name936,50.35
503,Name3379,35.33
504,Name4711,79.83
505,Name7862,0.72
506,Name9543,55.16
507,Name5719,75.57
508,Name9559,26.80
509,Name2410,34.67
510,Name3938,23.93
511,Name1118,15.68
512,Name6877,44.75
513,Name5352,67.98
514,Name6188,71.97
515,Name3789,80.58
516,Name2623,60.99
517,Name2988,91.09
518,Name6621,28.12
519,Name2822,12.88
520,Name448,87.10
521,Name4291,41.38
522,Name507,48.86
523,Name7226,40.24
524,Name4610,74.30
525,Name5931,53.09
526,Name2937,42.63
527,Name7203,7.10
528,Name4545,28.99
529,Name1699,37.68
530,Name2933,82.20
531,Name1912,86.11
532,Name4665,24.52
533,Name2322,69.13
534,Name5608,84.28
535,Name7493,66.44
536,Name1510,44.75
537,Name7469,50.38
538,Name7182,86.89
539,Name5342,99.28
540,Name5090,76.43
541,Name3329,13.29
542,Name9196,75.35
543,Name5993,24.17
544,Name1637,11.79
545,Name7250,51.24
546,Name8873,22.45
547,Name3342,39.59
548,Name5436,35.21
549,Name7640,36.89
550,Name7005,83.32
551,Name68,61.52
552,Name1300,2.65
553,Name2252,42.05
554,Name8333,44.10
555,Name9776,4.53
556,Name5865,5.92
557,Name8651,47.68
558,Name8368,77.02
559,Name1428,49.57
560,Name3824,71.83
561,Name7471,24.29
562,Name5764,24.21
563,Name938,36.47
564,Name5163,27.92
565,Name1373,30.24
566,Name6721,75.99
567,Name7477,48.69
568,Name3827,68.24
569,Name5176,42.41
570,Name343,45.44
571,Name7163,83.43
572,Name6009,46.65
573,Name5865,13.70
574,Name315,73.49
575,Name5432,17.75
576,Name6765,79.33
577,Name5584,77.97
578,Name5540,43.09
579,Name4921,65.26
580,Name4951,46.32
581,Name8450,69.07
582,Name3084,89.11
583,Name1084,48.95
584,Name3132,84.22
585,Name4200,28.58
586,Name1913,73.75
587,Name6313,2.12
588,Name9633,74.04
589,Name4297,79.96
590,Name4882,54.05
591,Name6328,16.53
592,Name7253,61.64
593,Name28,96.08
594,Name118,7.87
595,Name5559,27.60
596,Name1426,40.74
597,Name6806,75.80
598,Name9936,51.91
599,Name7501,10.19
600,Name9385,64.02
601,Name243,33.62
602,Name4191,86.48
603,Name2648,32.69
604,Name4742,85.21
605,Name7355,46.07
606,Name9403,28.24
607,Name2199,15.05
608,Name9985,31.02
609,Name7052,60.75
610,Name6649,47.08
611,Name3725,70.89
612,Name60,35.95
613,Name8935,68.84
614,Name3510,45.78
615,Name7915,1.40
616,Name2932,75.06
617,Name5713,49.35
618,Name5097,9.84
619,Name8833,97.52
620,Name9159,0.33
621,Name7360,84.93
622,Name3178,96.64
623,Name1513,97.20
624,Name2348,27.27
625,Name7143,11.72
626,Name2121,23.93
627,Name4200,18.92
628,Name7128,52.71
629,Name1382,32.10
630,Name6193,89.73
631,Name8746,36.45
632,Name3893,85.16
633,Name474,84.46
634,Name5699,3.52
635,Name9745,88.90
636,Name8950,81.65
637,Name7397,21.13
638,Name374,10.22
639,Name9218,5.00
640,Name5550,52.99
641,Name1955,98.91
642,Name20,35.49
643,Name4772,11.16
644,Name5591,92.21
645,Name738,86.90
646,Name728,98.46
647,Name4014,44.33
648,Name9478,12.35
649,Name7429,60.33
650,Name6682,14.50
651,Name7636,86.82
652,Name4548,41.80
653,Name9324,84.10
654,Name981,17.81
655,Name693,21.09
656,Name801,4.15
657,Name8746,23.38
658,Name3015,56.99
659,Name2988,86.16
660,Name2218,17.30
661,Name9595,17.26
662,Name7087,75.47
663,Name7577,27.56
664,Name1394,43.14
665,Name1193,52.12
666,Name6093,63.35
667,Name4996,23.12
668,Name5588,37.70
669,Name7939,99.65
670,Name8763,26.38
671,Name8869,44.75
672,Name1759,23.76
673,Name3745,86.58
674,Name8081,37.07
675,Name8283,69.63
676,Name1187,89.44
677,Name6240,24.92
678,Name1709,27.93
679,Name6896,75.51
680,Name7072,9.76
681,Name8190,7.38
682,Name3865,31.10
683,Name813,64.95
684,Name7847,71.64
685,Name2282,8.65
686,Name6606,23.72
687,Name615,40.57
688,Name5392,31.36
689,Name1042,92.70
690,Name6894,74.80
691,Name3405,52.80
692,Name3284,45.56
693,Name7953,15.10
694,Name9911,15.71
695,Name3445,24.64
696,Name2588,41.31
697,Name9819,99.68
698,Name4267,40.41
699,Name4122,15.59
700,Name3230,46.03
701,Name1312,26.52
702,Name8244,38.09
703,Name6813,64.31
704,Name5392,6.01
705,Name6018,74.23
706,Name6220,34.48
707,Name8765,71.54
708,Name4125,23.56
709,Name3644,39.32
710,Name834,71.61
711,Name1501,82.18
712,Name2925,29.35
713,Name2761,99.71
714,Name5488,49.17
715,Name8728,55.80
716,Name8154,43.22
717,Name389,82.12
718,Name3058,34.43
719,Name6891,95.00
720,Name2902,25.64
721,Name3499,35.42
722,Name5784,78.84
723,Name7608,21.84
724,Name8705,70.62
725,Name9282,46.34
726,Name5812,54.78
727,Name3194,55.30
728,Name6463,72.87
729,Name9502,71.21
730,Name8247,99.88
731,Name8466,73.53
732,Name6478,27.02
733,Name7768,99.75
734,Name2189,71.90
735,Name8261,27.77
736,Name2301,90.32
737,Name9458,33.78
738,Name2737,26.78
739,Name1912,72.11
740,Name1281,93.21
741,Name1651,17.40
742,Name5106,24.64
743,Name4321,52.39
744,Name7642,93.08
745,Name3346,24.21
746,Name3645,93.29
747,Name5059,55.26
748,Name3467,87.26
749,Name8153,13.03
750,Name3404,72.09
751,Name4445,6.57
752,Name1454,82.37
753,Name417,44.42
754,Name147,66.26
755,Name1320,58.00
756,Name4878,32.85
757,Name2317,87.04
758,Name1011,47.17
759,Name7796,48.32
760,Name9895,33.24
761,Name5644,82.93
762,Name1278,79.62
763,Name7062,36.86
764,Name4177,73.90
765,Name952,24.12
766,Name4771,72.81
767,Name4184,1.19
768,Name1395,40.89
769,Name813,77.15
770,Name7068,78.32
771,Name4389,70.11
772,Name571,76.53
773,Name1888,75.57
774,Name7866,70.96
775,Name1064,30.50
776,Name3009,83.60
777,Name1077,50.87
778,Name5066,85.61
779,Name7288,37.12
780,Name9860,92.30
781,Name3859,47.21
782,Name1144,66.80
783,Name8618,57.75
784,Name7509,53.51
785,Name7263,41.34
786,Name7418,53.15
787,Name6010,70.28
788,Name9927,35.81
789,Name1643,84.32
790,Name9503,34.88
791,Name6303,67.45
792,Name2449,96.93
793,Name5267,80.37
794,Name2317,20.97
795,Name9155,21.86
796,Name7827,55.96
797,Name3819,99.67
798,Name8721,50.15
799,Name7396,77.10
800,Name4653,93.15
801,Name9119,78.38
802,Name3385,3.88
803,Name371,96.93
804,Name6950,53.65
805,Name8351,30.01
806,Name9430,94.56
807,Name6846,66.79
808,Name3824,84.63
809,Name9550,79.21
810,Name8981,32.34
811,Name244,71.89
812,Name913,18.32
813,Name8062,29.85
814,Name5508,29.99
815,Name636,0.34
816,Name9862,52.43
817,Name9571,6.69
818,Name7976,9.15
819,Name3370,44.98
820,Name6728,22.83
821,Name3754,19.28
822,Name7877,79.94
823,Name2360,14.35
824,Name4552,8.85
825,Name1837,11.54
826,Name4783,98.37
827,Name7893,52.61
828,Name2976,30.07
829,Name605,94.89
830,Name6421,66.01
831,Name4789,5.70
832,Name3367,53.44
833,Name307,49.24
834,Name9636,40.19
835,Name1084,30.99
836,Name4239,24.97
837,Name13,89.51
838,Name9873,20.71
839,Name6272,11.22
840,Name547,10.72
841,Name7384,75.69
842,Name7592,84.04
843,Name7202,8.50
844,Name144,93.50
845,Name2631,27.42
846,Name4569,45.47
847,Name353,46.25
848,Name4365,35.81
849,Name1320,38.45
850,Name9979,53.33
851,Name6372,78.98
852,Name6125,24.32
853,Name9942,67.30
854,Name9728,2.00
855,Name8745,50.64
856,Name3577,40.04
857,Name6583,66.14
858,Name7023,97.79
859,Name2439,30.44
860,Name1635,10.30
861,Name3835,54.76
862,Name344,16.30
863,Name389,82.60
864,Name5822,50.50
865,Name8119,18.39
866,Name2906,53.77
867,Name7453,87.51
868,Name8802,74.98
869,Name9493,20.56
870,Name4967,37.35
871,Name7928,1.32
872,Name7060,76.52
873,Name1889,52.21
874,Name1137,19.68
875,Name4031,68.90
876,Name4363,44.33
877,Name2153,59.25
878,Name9526,27.91
879,Name6868,89.87
880,Name4710,12.37
881,Name7641,89.26
882,Name8910,61.48
883,Name1555,63.55
884,Name3921,25.83
885,Name697,5.53
886,Name8669,70.95
887,Name5424,89.19
888,Name4239,57.94
889,Name4461,30.77
890,Name9147,93.98
891,Name5046,91.16
892,Name8617,45.87
893,Name3728,93.47
894,Name2248,54.31
895,Name9169,43.34
896,Name3901,89.00
897,Name7989,64.00
898,Name3861,35.09
899,Name5633,33.73
900,Name5403,31.95
901,Name435,34.79
902,Name5334,46.52
903,Name4180,94.24
904,Name1841,55.41
905,Name8227,35.51
906,Name9210,4.61
907,Name5495,5.49
908,Name3823,8.79
909,Name4001,88.93
910,Name4085,99.07
911,Name6417,12.03
912,Name2045,28.65
913,Name6067,32.03
914,Name5996,34.65
915,Name4372,68.47
916,Name4545,6.70
917,Name7906,17.62
918,Name807,4.64
919,Name6568,4.38
920,Name6902,60.96
921,Name3771,10.11
922,Name7101,76.62
923,Name2077,0.31
924,Name1598,57.16
925,Name3593,21.96
926,Name9953,6.94
927,Name3430,14.42
928,Name3968,55.04
929,Name891,49.94
930,Name4818,29.05
931,Name357,79.51
932,Name7622,73.21
933,Name820,48.58
934,Name1447,95.88
935,Name1727,92.93
936,Name709,77.69
937,Name3212,77.71
938,Name9377,72.31
939,Name6357,71.56
940,Name8696,82.77
941,Name7241,25.48
942,Name4194,31.46
943,Name2740,15.73
944,Name6191,81.68
945,Name7635,4.15
946,Name403,79.07
947,Name8466,76.55
948,Name249,99.52
949,Name8410,45.82
950,Name7707,21.70
951,Name1901,11.71
952,Name7498,27.72
953,Name5965,64.23
954,Name2179,75.15
955,Name7034,36.13
956,Name3342,80.03
957,Name9377,60.23
958,Name7326,33.44
959,Name3583,71.03
960,Name1956,23.52
961,Name7315,15.43
962,Name6765,51.80
963,Name1989,93.28
964,Name2334,26.17
965,Name7811,65.00
966,Name5384,40.30
967,Name4757,16.45
968,Name4749,18.17
969,Name5542,57.79
970,Name7585,79.96
971,Name6534,54.50
972,Name5042,49.76
973,Name4672,84.28
974,Name8298,9.68
975,Name2825,43.37
976,Name1095,8.62
977,Name51,80.16
978,Name5822,47.39
979,Name8010,18.58
980,Name9685,20.27
981,Name2799,40.21
982,Name6116,99.45
983,Name6203,66.34
984,Name6167,30.49
985,Name1807,11.81
986,Name6824,32.63
987,Name5895,10.60
988,Name6709,68.32
989,Name2501,84.34
990,Name8348,76.74
991,Name3400,51.42
992,Name7443,17.56
993,Name1338,68.29
994,Name2019,43.91
995,Name7740,93.39
996,Name512,15.09
997,Name3133,27.96
998,Name8549,83.54
999,Name4275,64.46
1000,Name8867,23.19
1001,Name1615,24.09
1002,Name3974,87.89
1003,Name1862,21.97
1004,Name3592,43.63
1005,Name3695,57.70
1006,Name3336,59.26
1007,Name4317,25.71
1008,Name1890,3.38
1009,Name9088,22.96
1010,Name4361,91.23
1011,Name3976,58.62
1012,Name256,19.10
1013,Name8269,55.34
1014,Name3583,86.80
1015,Name4895,30.96
1016,Name3050,63.34
1017,Name9485,49.40
1018,Name7752,78.25
1019,Name9872,78.24
1020,Name7230,4.49
1021,Name3200,58.28
1022,Name5190,57.40
1023,Name6829,77.93
1024,Name9115,69.76
1025,Name6588,31.61
1026,Name8414,9.80
1027,Name2135,64.93
1028,Name1144,3.45
1029,Name5261,98.73
1030,Name4249,49.97
1031,Name2851,25.78
1032,Name2005,27.13
1033,Name9537,27.86
1034,Name3195,12.78
1035,Name7152,30.96
1036,Name8711,94.72
1037,Name8565,45.65
1038,Name4921,93.16
1039,Name5466,12.47
1040,Name3482,10.15
1041,Name8134,63.55
1042,Name2256,75.07
1043,Name9815,79.69
1044,Name3496,1.89
1045,Name223,44.01
1046,Name7192,22.34
1047,Name6019,62.65
1048,Name2798,34.52
1049,Name8258,36.72
1050,Name3486,48.75
1051,Name8594,82.87
1052,Name1302,68.58
1053,Name5390,0.55
1054,Name4025,60.06
1055,Name6570,34.60
1056,Name152,35.57
1057,Name5941,93.98
1058,Name6427,93.59
1059,Name562,51.81
1060,Name5250,82.11
1061,Name4976,4.58
1062,Name7201,36.44
1063,Name6371,81.19
1064,Name1503,8.40
1065,Name3305,97.79
1066,Name2014,4.77
1067,Name401,49.67
1068,Name6779,9.04
1069,Name9579,95.70
1070,Name1497,25.79
1071,Name5934,34.50
1072,Name4397,43.93
1073,Name9873,59.23
1074,Name8159,1.47
1075,Name1076,19.90
1076,Name7735,72.49
1077,Name9025,98.36
1078,Name6426,7.42
1079,Name6421,68.97
1080,Name2592,73.44
1081,Name5820,97.99
1082,Name1096,8.66
1083,Name825,92.23
1084,Name6409,15.25
1085,Name1100,35.47
1086,Name9440,62.55
1087,Name699,51.47
1088,Name4996,8.44
1089,Name2177,13.26
1090,Name663,41.20
1091,Name1385,74.35
1092,Name5593,53.17
1093,Name9617,9.81
1094,Name584,94.16
1095,Name7550,50.26
1096,Name6411,34.79
1097,Name8835,5.57
1098,Name4122,98.36
1099,Name9973,42.41
1100,Name7328,30.77
1101,Name5535,3.13
1102,Name2675,4.59
1103,Name5540,47.66
1104,Name6614,87.96
1105,Name5053,80.37
1106,Name7026,97.60
1107,Name8075,8.90
1108,Name2986,45.62
1109,Name1711,88.30
1110,Name1857,84.39
1111,Name7968,83.19
1112,Name4282,2.03
1113,Name1189,89.20
1114,Name5457,19.38
1115,Name5489,70.48
1116,Name3315,9.11
1117,Name3589,79.36
1118,Name8344,57.54
1119,Name9037,45.51
1120,Name5117,87.03
1121,Name6012,23.83
1122,Name5900,98.82
1123,Name3719,22.17
1124,Name7434,59.45
1125,Name6924,58.96
1126,Name27,90.70
1127,Name6576,32.40
1128,Name503,48.38
1129,Name1915,72.50
1130,Name8587,87.08
1131,Name2247,67.23
1132,Name3602,37.87
1133,Name6652,20.67
1134,Name2371,9.27
1135,Name216,8.32
1136,Name786,18.15
1137,Name7030,75.69
1138,Name1989,13.15
1139,Name3447,54.78
1140,Name5004,80.57
1141,Name3447,47.07
1142,Name9723,69.81
1143,Name7152,8.57
1144,Name986,20.62
1145,Name8619,81.47
1146,Name5957,7.06
1147,Name9413,38.66
1148,Name9471,68.20
1149,Name5701,11.39
1150,Name4364,16.74
1151,Name8634,68.18
1152,Name1678,44.36
1153,Name7922,97.35
1154,Name9528,97.69
1155,Name3768,72.53
1156,Name6865,9.77
1157,Name3118,42.36
1158,Name9733,2.01
1159,Name8805,92.03
1160,Name1390,39.81
1161,Name5308,67.04
1162,Name5517,72.14
1163,Name5764,36.59
1164,Name9644,20.92
1165,Name9119,27.98
1166,Name7063,68.56
1167,Name4151,30.51
1168,Name4620,4.44
1169,Name7175,66.04
1170,Name7236,79.48
1171,Name3573,31.31
1172,Name3195,85.48
1173,Name6770,54.17
1174,Name1505,92.88
1175,Name961,81.91
1176,Name6988,58.16
1177,Name7032,10.40
1178,Name1136,79.30
1179,Name1729,72.93
1180,Name1562,65.75
1181,Name2185,79.20
1182,Name9849,47.76
1183,Name1712,9.65
1184,Name4372,48.89
1185,Name2622,7.06
1186,Name4757,75.22
1187,Name6010,84.06
1188,Name6538,49.91
1189,Name6914,33.87
1190,Name2707,84.63
1191,Name2409,37.88
1192,Name3932,62.09
1193,Name4132,43.41
1194,Name8060,34.74
1195,Name6776,90.84
1196,Name4795,95.26
1197,Name5395,10.97
1198,Name1672,44.55
1199,Name9947,74.65
1200,Name288,39.10
1201,Name3102,16.68
1202,Name4411,80.19
1203,Name6769,15.62
1204,Name7825,42.43
1205,Name9518,65.51
1206,Name1169,88.80
1207,Name8960,6.14
1208,Name74,37.02
1209,Name6825,41.45
1210,Name8062,40.73
1211,Name2163,90.80
1212,Name7504,39.99
1213,Name1837,89.39
1214,Name8362,93.44
1215,Name5290,9.65
1216,Name3641,87.58
1217,Name2878,45.62
1218,Name4817,82.44
1219,Name103,15.79
1220,Name6145,29.21
1221,Name4133,50.97
1222,Name3249,77.85
1223,Name3080,46.44
1224,Name7054,33.79
1225,Name9566,71.29
1226,Name803,82.31
1227,Name4942,34.58
1228,Name4843,96.14
1229,Name4373,0.85
1230,Name4100,34.62
1231,Name3218,18.04
1232,Name4186,42.03
1233,Name9765,38.11
1234,Name9078,82.96
1235,Name8998,26.23
1236,Name1083,3.14
1237,Name7830,40.84
1238,Name1047,97.32
1239,Name3399,2.08
1240,Name7314,2.19
1241,Name1258,1.28
1242,Name1531,57.40
1243,Name2453,75.21
1244,Name7581,62.38
1245,Name91,32.63
1246,Name1260,23.86
1247,Name3524,24.93
1248,Name8939,40.86
1249,Name8796,46.36
1250,Name8871,27.77
1251,Name8187,21.74
1252,Name9473,12.94
1253,Name5538,87.02
1254,Name1658,86.04
1255,Name7743,79.52
1256,Name255,81.72
1257,Name8005,6.36
1258,Name4384,18.56
